filename,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.3537,3.51663,2942.4,2959.27,23,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,14.2066,3.51465,2930.45,2948.17,23,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.6531,3.56659,2939.77,2956.98,23,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.4424,3.33073,2941.75,2958.52,23,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.4844,4.59865,2676.68,2746.76,32,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,69.0023,4.64452,2374.1,2447.75,32,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,66.9454,4.60748,2337.8,2409.35,32,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,66.1705,4.63561,2346.54,2417.35,32,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,66.7753,4.71562,2405.57,2477.06,32,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,229.559,22.4912,3618.22,3870.27,35,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,232.668,23.0941,3314.31,3570.07,35,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,227.715,22.3526,3226.18,3476.25,35,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,231.164,23.267,3325.15,3579.59,35,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,234.847,23.8669,3297.3,3556.02,35,10,10,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.712806,3.15289,34016.3,34020.1,19,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,1.15308,3.20777,33437.9,33442.3,19,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.642877,3.26654,33668.7,33672.6,19,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.661032,3.29094,32482.7,32486.7,19,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.652611,3.47919,33130.8,33134.9,19,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.49388,7.81194,30868.5,30880.8,20,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.47874,7.76023,30265.7,30277.9,20,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,5.0616,7.6646,30781,30793.7,20,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.5647,7.8401,30283.3,30295.7,20,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.55242,7.77098,30298.6,30310.9,20,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.6012,4.02935,24795.1,24812.7,23,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.6786,4.24464,24521.5,24539.4,23,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.2275,4.03116,25157.6,25174.9,23,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.3573,3.95763,24376.7,24394,23,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.3258,4.01442,25336.3,25353.7,23,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,66.9656,5.45541,20857,20929.4,32,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.4425,5.4156,20510.1,20581,32,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,68.5034,5.57281,20431.1,20505.2,32,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,66.6867,5.45875,20343.6,20415.7,32,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,66.621,5.33793,20466.5,20538.5,32,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,232.134,15.1854,27014.7,27262.1,35,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,233.215,14.9518,26968.9,27217.1,35,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,230.743,14.9207,26748.1,26993.7,35,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,231.687,14.9104,26843.9,27090.5,35,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,232.632,15.0187,26838.3,27086,35,100,100,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.647509,6.98006,330753,330760,19,1000,1000,1000
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.798431,6.86561,332027,332034,19,1000,1000,1000
